['"Sexcrime (Nineteen Eighty-Four)"', 'Eurythmics']
['Crusader', 'Saxon']
['Daddy, What Did You Do In The Strike?', 'Ewan MacColl']
['Dance Hall Days', 'Wang Chung']
['Dance Me to the End of Love', 'Leonard Cohen']
['Dancing In The Dark', 'Bruce Springsteen']
['Dancing In The Sheets', 'Shalamar']
['Dancing With Tears In My Eyes', 'Ultravox']
['Darling Nikki', 'Prince']
['Darlington County', 'Bruce Springsteen']
['Deeper and Deeper', 'The Fixx']
['Desert Moon', 'Dennis DeYoung']
['Dethroned Emperor', 'Celtic Frost']
['Distant Early Warning', 'Rush']
["Do They Know It's Christmas?", 'Band Aid']
['Doctor! Doctor!', 'Thompson Twins']
["Don't Answer Me", 'The Alan Parsons Project']
["Don't Go Back To Rockville", 'R.E.M.']
["Don't Look Any Further", 'Dennis Edwards']
["Don't Waste Your Time", 'Yarbrough & Peoples']
["Don't Worry Baby", 'Los Lobos']
['Dover Beach', 'Bangles']
['Downbound Train', 'Bruce Springsteen']
['Dress You Up', 'Madonna']
['Drive', 'The Cars']
['Dum Dum Girl', 'Talk Talk']
['Durango 95', 'Ramones']
['Dynamite', 'Jermaine Jackson']
['Easter Parade', 'The Blue Nile']
['Easy Lover', 'Philip Bailey']
['Eat It', 'Weird Al Yankovic']
['Eat Me Alive', 'Judas Priest']
['Eighties', 'Killing Joke']
['Elvis Presley And America', 'U2']
['Escape', 'Metallica']
['Evangeline', 'Los Lobos']
['Everything She Wants', 'Wham!']
['Fade To Black', 'Metallica']
['Fight Fire With Fire', 'Metallica']
['Flame Trees', 'Cold Chisel']
['Flash Of The Blade', 'Iron Maiden']
['Foolish Heart', 'Steve Perry']
['Footloose', 'Kenny Loggins']
['For Whom The Bell Tolls', 'Metallica']
['Forever Young', 'Alphaville']
['Forget That Day', "The Go-Go's"]
['Freedom', 'Wham!']
['Fresh', 'Kool & the Gang']
['Get Up And Jump', 'Red Hot Chili Peppers']
['Ghostbusters', 'Ray Parker, Jr.']
['Girls', 'Dwight Twilley']
['Glory Days', 'Bruce Springsteen']
['Go For It', 'Joe Jackson']
['God', 'Prince']
['Going Down to Liverpool', 'Bangles']
['Grand Pappy Du Plenty', 'Red Hot Chili Peppers']
['Grandma Got Run Over By A Reindeer', 'Elmo & Patsy']
['Green Heaven', 'Red Hot Chili Peppers']
['Grow Old With Me', 'John Lennon']
['Hammer To Fall', 'Queen']
['Handsome Devil', 'The Smiths']
['Hard Habit To Break', 'Chicago']
['Head Over Heels', "The Go-Go's"]
['Heaven', 'Bryan Adams']
['Heaven', 'The Psychedelic Furs']
["Heaven Knows I'm Miserable Now", 'The Smiths']
['Hello Again', 'The Cars']
['Here Come Cowboys', 'The Psychedelic Furs']
['Hero Takes A Fall', 'Bangles']
['Hide and Seek', 'Howard Jones']
['High On You', 'Survivor']
['Highly Strung', 'Spandau Ballet']
['History Lesson, Pt. 2', 'Minutemen']
['Holding Out For A Hero', 'Bonnie Tyler']
['Holy Joe From Scabsville', 'Ewan MacColl']
['Holyanna', 'Toto']
['Hot For Teacher', 'Van Halen']
['How Soon Is Now?', 'The Smiths']
['Hyperactive!', 'Thomas Dolby']
['I Am a Patriot', 'Little Steven & the Disciples of Soul']
['I Can Dream About You', 'Dan Hartman']
["I Can't Drive 55", 'Sammy Hagar']
["I Can't Hold Back", 'Survivor']
["I Do' Wanna Know", 'REO Speedwagon']
['I Feel For You', 'Chaka Khan']
["I Gave You My Heart (Didn't I)", 'Hot Chocolate']
['I Go Crazy', 'Queen']
['I Just Called To Say I Love You', 'Stevie Wonder']
['I Lost On Jeopardy', 'Weird Al Yankovic']
['I Might Have Been Queen', 'Tina Turner']
['I Need You Tonight', 'Peter Wolf']
['I Never Play Basketball Now', 'Prefab Sprout']
['I Wanna Rock', 'Twisted Sister']
['I Want to Break Free', 'Queen']
['I Want to Know What Love Is', 'Foreigner']
['I Will Dare', 'The Replacements']
['I Would Die 4 U', 'Prince']
["I'll Wait", 'Van Halen']
["I'm Free (Heaven Helps The Man)", 'Kenny Loggins']
["I'm Goin' Down", 'Bruce Springsteen']
["I'm On Fire", 'Bruce Springsteen']
["If You're Gonna Play In Texas (You Gotta Have A Fiddle In The Band)", 'Alabama']
['In Red Square', 'Al Stewart']
['Infatuation', 'Rod Stewart']
['Into the Crypts of Rays', 'Celtic Frost']
['Is This The World We Created?', 'Queen']
["It's A Hard Life", 'Queen']
["It's My Life", 'Talk Talk']
["It's Only Love", 'Bryan Adams']
['Jailbreak', 'AC/DC']
['Jam On It', 'Newcleus']
['Jump', 'Van Halen']
['Jungle Love', 'The Time']
['Killer On The Loose', 'Sorcery']
['King Of The Jungle', 'Bananarama']
['King Of Twilight', 'Iron Maiden']
['Knees of My Heart', 'Jimmy Buffett']
['Knife', 'Aztec Camera']
['Knocking At Your Back Door', 'Deep Purple']
['Last Christmas', 'Wham!']
['Les Morts Dansant', 'Magnum']
['Less Cities, More Moving People', 'The Fixx']
["Let's Go Crazy", 'Prince']
["Let's Hear It For The Boy", 'Deniece Williams']
['Like A Virgin', 'Madonna']
['Living On A Thin Line', 'The Kinks']
['London Leatherboys', 'Accept']
['Love Came For Me', 'Rita Coolidge']
['Love Grammar', 'John Parr']
['Love Kills', 'Freddie Mercury']
['Lovergirl', 'Teena Marie']
['Lovers in a Dangerous Time', 'Bruce Cockburn']
['Magic', 'The Cars']
['Magical', 'John Parr']
["Mama He's Crazy", 'The Judds']
['Material Girl', 'Madonna']
['Metal Queen', 'Lee Aaron']
['Metal Thrashing Mad', 'Anthrax']
['Method of Modern Love', 'Hall & Oates']
['Missing You', 'John Waite']
['Missing You', 'Diana Ross']
['MLK', 'U2']
['Morbid Tales', 'Celtic Frost']
['Mothers Talk', 'Tears for Fears']
['Move Closer', 'Phyllis Nelson']
['Mr. Telephone Man', 'New Edition']
['My Baby Loves A Vampire', 'Bernie Torm�']
['My City Was Gone', 'Pretenders']
['My Ever Changing Moods', 'The Style Council']
['My Hometown', 'Bruce Springsteen']
['My Own Planet', 'The Flaming Lips']
['Naughty Naughty', 'John Parr']
['Ned Ludd', 'Robert Calvert']
['Nelson Mandela', 'The Special A.K.A.']
['Neutron Dance', 'The Pointer Sisters']
['Never Ending Story', 'Limahl']
['New Attitude', 'Patti LaBelle']
['No More Lonely Nights', 'Paul McCartney']
['No Surrender', 'Bruce Springsteen']
['No Way Out', 'Jefferson Starship']
['Nobody Told Me', 'John Lennon']
['Not Responsible', 'Deep Purple']
['Nowhere Fast', 'Fire Inc.']
['Obsession', 'Animotion']
['Ocean Rain', 'Echo & the Bunnymen']
['Oh Sherrie', 'Steve Perry']
['On The Wings Of A Nightingale', 'The Everly Brothers']
['One Better Day ', 'Madness']
['One Night In Bangkok', 'Murray Head']
['Only When You Leave', 'Spandau Ballet']
['Operator', 'Midnight Star']
['Original Sin', 'INXS']
['Out In L.A.', 'Red Hot Chili Peppers']
['Out of Touch', 'Hall & Oates']
['Out Out', 'Peter Gabriel']
['Panama', 'Van Halen']
['Party Girls And Broken Poets', 'Elliott Murphy']
['Peace in Our Time', 'Elvis Costello']
['Pearl In The Shell', 'Howard Jones']
['People Are People', 'Depeche Mode']
['People Need The Lord', 'Steve Green']
['Perfect Strangers', 'Deep Purple']
['Pink Cadillac', 'Bruce Springsteen']
['Plateau', 'Meat Puppets']
['Please, Please, Please, Let Me Get What I Want', 'The Smiths']
['Point Of No Return', 'Expos�']
['Police Officer', 'Smiley Culture']
['Political Song for Michael Jackson to Sing', 'Minutemen']
['Possession Obsession', 'Hall & Oates']
['Powerslave', 'Iron Maiden']
['Pretty Girls Make Graves', 'The Smiths']
['Pretty Persuasion', 'R.E.M.']
['Pride (In The Name Of Love)', 'U2']
['Prime Time', 'The Alan Parsons Project']
['Private Dancer', 'Tina Turner']
['Procreation (Of the Wicked)', 'Celtic Frost']
['Promenade', 'U2']
['Purple Rain', 'Prince']
['Radio Ga Ga', 'Queen']
['Rainbow Eyes', 'Sorcery with Susie Rose Major']
['Rebel Woman', 'Barclay James Harvest']
['Red Army Blues', 'The Waterboys']
['Red Sector A', 'Rush']
['Red, Hot And Heavy', 'Pretty Maids']
['Reel Around the Fountain', 'The Smiths']
['Relax', 'Frankie Goes to Hollywood']
['Request Line', 'Rock Master Scott and The Dynamic Three']
['Ride On', 'Christy Moore']
['Ride The Lightning', 'Metallica']
['Rime Of The Ancient Mariner', 'Iron Maiden']
['Rock Box', 'Run-D.M.C.']
['Rock Me Tonite', 'Billy Squier']
['Rock You Like A Hurricane', 'Scorpions']
['Round And Round', 'Ratt']
['Run To You', 'Bryan Adams']
['Runaway', 'Bon Jovi']
['Running', 'Information Society']
['S.M.F.', 'Twisted Sister']
['Sanctuary', 'Daniel Amos']
['Scuttle Buttin', 'Stevie Ray Vaughan']
['Self Control', 'Laura Branigan']
['Shout', 'Tears for Fears']
['Show Me', 'Pretenders']
['Sister of Mercy', 'Thompson Twins']
['Sixteen Blue', 'The Replacements']
['Slide It In', 'Whitesnake']
['Smooth Operator', 'Sade']
["Smuggler's Blues", 'Glenn Frey']
["So. Central Rain (I'm Sorry)", 'R.E.M.']
['Solid', 'Ashford & Simpson']
['Some Things Are Better Left Unsaid', 'Hall & Oates']
['Somebody', 'Depeche Mode']
['Somebody', 'Bryan Adams']
["Somebody's Watching Me", 'Rockwell']
['Son Of Alerik', 'Deep Purple']
['Speed Your Love To Me', 'Simple Minds']
["St. Swithin's Day", 'Billy Bragg']
['State Of Shock', 'The Jacksons']
['Stay The Night', 'Chicago']
["Steppin' Out", 'Steel Pulse']
['Still Loving You', 'Scorpions']
['Stir It Up', 'Patti LaBelle']
['Stonehenge', 'Spinal Tap']
['Story of the Blues Parts 1 & 2', 'Pete Wylie']
['Stranger In A Strange Land', 'Triumph']
["Strap On 'Robbie Baby'", 'Vanity']
['Suffer Little Children', 'The Smiths']
["Summer of '69", 'Bryan Adams']
['Sunset Grill', 'Don Henley']
['Take Hold of the Flame', 'Queensr�che']
['Taxi Dancing', 'Rick Springfield']
['Tenderness', 'General Public']
['Tesla Girls', 'OMD']
["Thank God It's Christmas", 'Queen']
['That Was Yesterday', 'Foreigner']
['The Body Electric', 'Rush']
['The Boys of Summer', 'Don Henley']
['The Call Of Ktulu', 'Metallica']
['The Candidate', 'Al Stewart']
['The Chicken In Black', 'Johnny Cash']
['The Deceiver', 'The Alarm']
['The Enemy Within', 'Rush']
['The Ghost In You', 'The Psychedelic Furs']
['The Glamorous Life', 'Sheila E.']
['The Glory of Man', 'Minutemen']
['The Heat Is On', 'Glenn Frey']
['The Killing Moon', 'Echo & the Bunnymen']
['The Longest Day', 'The Del Fuegos']
['The Magazine', 'Rickie Lee Jones']
['The Power Of Love', 'Frankie Goes to Hollywood']
['The Power Of Love', 'Jennifer Rush']
['The Price', 'Twisted Sister']
['The Riddle', 'Nik Kershaw']
['The Roof Is On Fire', 'Rock Master Scott and The Dynamic Three']
['The Search Is Over', 'Survivor']
['The Trial', 'Dead Can Dance']
['The Unforgettable Fire', 'U2']
['The Upstroke', "Agents Aren't Aeroplanes"]
['The Verdict', 'Joe Jackson']
['The War Song', 'Culture Club']
['The Warrior', 'Scandal']
['The Warrior Is A Child', 'Twila Paris']
['Thieves Like Us', 'New Order']
["This Ain't No Picnic", 'Minutemen']
['This Charming Man', 'The Smiths']
['This Girl Gets Around', 'Sammy Hagar']
['Thrills in the Night', 'Kiss']
['Through The Fire', 'Chaka Khan']
['Thy Word', 'Amy Grant']
['Tinseltown In The Rain', 'The Blue Nile']
["Tonight I'm Gonna Rock You Tonight", 'Spinal Tap']
['Tonight Is What It Means to Be Young', 'Fire Inc.']
['Too Late for Goodbyes', 'Julian Lennon']
['Transmission Ends', 'Chris de Burgh']
['Trapped Under Ice', 'Metallica']
["True Men Don't Kill Coyotes", 'Red Hot Chili Peppers']
['Turn Up The Radio', 'Autograph']
['Two Minutes To Midnight', 'Iron Maiden']
['Two Tribes', 'Frankie Goes to Hollywood']
['United and Strong', 'Agnostic Front']
['Unsatisfied', 'The Replacements']
['Valotte', 'Julian Lennon']
['Victims Of Circumstance', 'Barclay James Harvest']
['Voices', 'Russ Ballard']
['Wait', 'Wang Chung']
['Wake Me Up Before You Go-Go', 'Wham!']
['Warning', 'Queensr�che']
['We All Stand Together', 'Paul McCartney']
['We Are His Hands', 'WhiteHeart']
['We Are the Children of the World', 'Diana Ross']
['We Belong', 'Pat Benatar']
["We're Not Gonna Take It", 'Twisted Sister']
['West End Girls', 'Pet Shop Boys']
['What Difference Does It Make?', 'The Smiths']
["What's Love Got To Do With It", 'Tina Turner']
['Whatever I Do (Wherever I Go)', 'Hazell Dean']
['When Doves Cry', 'Prince']
['When Heaven Comes Down', 'Dokken']
['When The Rain Begins To Fall', 'Jermaine Jackson']
["Who'd Have Thought", 'Hurrah!']
['Why Not Me', 'The Judds']
['Wild Boys', 'Duran Duran']
['Will the Wolf Survive?', 'Los Lobos']
['William, It Was Really Nothing', 'The Smiths']
['Winners, Losers, Beggars, Choosers', 'Elliott Murphy']
['Wire', 'U2']
['Working On The Highway', 'Bruce Springsteen']
["You Know I'm Right", 'David Gilmour']
['You Might Think', 'The Cars']
['You Spin Me Round (Like A Record)', 'Dead or Alive']
['You Take Me Up', 'Thompson Twins']
["You Think You're a Man", 'Divine']
["You're The Best", 'Joe Esposito']
["You're the Inspiration", 'Chicago']
['Young At Heart', 'The Bluebells']
