['100 Percent', 'Sonic Youth']
['Friend Like Me', 'Robin Williams']
['From Hank to Hendrix', 'Neil Young']
['From Here To Eternity', 'Iron Maiden']
['Galileo', 'Indigo Girls']
['Gave Up', 'Nine Inch Nails']
['Gentle Groove', 'Mother Love Bone']
['Ghost', 'Indigo Girls']
['Girl', 'Tori Amos']
['Give It Up', 'Wilson Phillips']
['Give U My Heart', 'Toni Braxton and Babyface']
['Glamorous Glue', 'Morrissey']
['Go', 'Moby']
["Goin' Out West", 'Tom Waits']
['Got Me Wrong', 'Alice in Chains']
['Hairspray Queen', 'Nirvana']
['Halcyon', 'Orbital']
['Halftime', 'Nas']
['Halloween on the Barbary Coast', 'The Flaming Lips']
['Hammer Smashed Face', 'Cannibal Corpse']
['Happy Phantom', 'Tori Amos']
['Harvest Moon', 'Neil Young']
['Hate To Feel', 'Alice in Chains']
['He Never Got Enough', 'Lucinda Williams']
["He Thinks He'll Keep Her", 'Mary Chapin Carpenter']
['Headmasters Of Mine', 'Jeffrey Gaines']
['Heartland', 'George Strait']
['Hearts Are Gonna Roll', 'Hal Ketchum']
['Helping Hand', 'Screaming Jets']
['High Speed Dirt', 'Megadeth']
['Hit', 'The Sugarcubes']
['Hitting You', 'Loudon Wainwright III']
['Holy Grail', 'Hunters & Collectors']
['How Do You Talk To An Angel', 'Jamie Walters']
['Human Touch', 'Bruce Springsteen']
['Hush', 'Tool']
["I Ain't No Nice Guy", 'Mot�rhead']
["I Don't Wanna Grow Up", 'Tom Waits']
['I Drove All Night', 'Roy Orbison']
['I Just Wanna', 'Kiss']
["I Know I'm Losing You", 'Inspiral Carpets']
["I Know It's Gonna Happen Someday", 'Morrissey']
['I Palindrome, I', 'They Might Be Giants']
['I See Your Smile', 'Gloria Estefan']
['I Still Believe in You', 'Vince Gill']
['I Will Always Love You', 'Whitney Houston']
['I Will Be Here For You', 'Michael W. Smith']
["I'd Rather Have A Bottle In Front Of Me (Than A Frontal Labotomy)", 'Randy Hanzlick M.D.']
["I'll Be There", 'Mariah Carey']
["I'll Never Get Over You Getting Over Me", 'Expos�']
["I'm Gonna Get You", 'Bizarre Inc.']
["I'm In A Hurry (And Don't Know Why)", 'Alabama']
["I'm Moving On", 'B.B. King']
['If I Had $1000000', 'Barenaked Ladies']
['If I Should Fall Behind', 'Bruce Springsteen']
['Ill Neglect', 'Brutal Truth']
['In My Defence', 'Freddie Mercury']
['In The Closet', 'Michael Jackson']
['Informer', 'Snow']
['Iron Gland', 'Alice in Chains']
['Iron Lion Zion', 'Bob Marley & the Wailers']
["It's a Fine Day", 'Opus III']
["It's A Shame About Ray", 'The Lemonheads']
['Jack The Ripper', 'Morrissey']
['Jerk-Off', 'Tool']
["Jesus Doesn't Want Me For A Sunbeam", 'The Vaselines']
['Jizzlobber', 'Faith No More']
['Jump', 'Kris Kross']
['Jump Around', 'House of Pain']
['Junkhead', 'Alice in Chains']
['Just Another Day', 'Jon Secada']
['Just Call Me Lonesome', 'Radney Foster']
['Just One Fix', 'Ministry']
['Kiev', 'Barclay James Harvest']
['Kiko and the Lavender Moon ', 'Los Lobos']
['Kiss That Frog', 'Peter Gabriel']
['Know Your Enemy', 'Rage Against the Machine']
['KRS-One', 'Sublime']
['La Chica Banda', 'Caf� Tacuba']
['Land Of Sunshine', 'Faith No More']
['Learning To Live', 'Dream Theater']
['Leather', 'Tori Amos']
['Let Me Be Your Fantasy', 'Baby D']
["Let's Get Rocked", 'Def Leppard']
['Life Is A Highway', 'Tom Cochrane']
['Little Bird', 'Annie Lennox']
['Little Earthquakes', 'Tori Amos']
['Live In a Hole', 'Pantera']
['Living Proof', 'Bruce Springsteen']
['Local Hero', 'Bruce Springsteen']
['Lost In Germany', "King's X"]
['Love Is on the Way', 'Saigon Kick']
['Love To Be Loved', 'Peter Gabriel']
['Lucky Town', 'Bruce Springsteen']
['Magic and Loss - The Summation', 'Lou Reed']
["Mama Don't Forget to Pray For Me", 'Diamond Rio']
['Man On the Moon', 'R.E.M.']
['Martyr', 'Fear Factory']
['Maryland', 'Vonda Shepard']
['Me And A Gun', 'Tori Amos']
['Metropolis - Part I: "The Miracle And The Sleeper"', 'Dream Theater']
['Mexican Seafood', 'Nirvana']
['MidLife Crisis', 'Faith No More']
['Milez Iz Ded', 'The Afghan Whigs']
['Miserere', 'Zucchero']
['Miss Chatelaine', 'k.d. lang']
["Molly's Lips", 'The Vaselines']
['Monty Got A Raw Deal', 'R.E.M.']
['Mother', 'Tori Amos']
['Motorcycle Emptiness', 'Manic Street Preachers']
['Mr. Loverman', 'Shabba Ranks']
['Mr. Tinkertrain', 'Ozzy Osbourne']
['Mr. Wendal', 'Arrested Development']
['Mrs. Rita', 'Gin Blossoms']
['Mugshot Heroin', 'Moonshake']
['Murder in the Red Barn', 'Tom Waits']
['My Drug Buddy', 'The Lemonheads']
['My Insatiable One', 'Suede']
['My Name Is Prince', 'Prince']
['Naked Sunday', 'Stone Temple Pilots']
['Nearly Lost You', 'Screaming Trees']
['Neighbor', 'Ugly Kid Joe']
['Nightswimming', 'R.E.M.']
['Nirvana', 'Juliana Hatfield']
['No Ordinary Love', 'Sade']
['No Rain', 'Blind Melon']
['Nobody Wins', 'Radney Foster']
['Not Gonna Be The One', 'Olivia Newton-John']
["Nuthin' But A G Thang", 'Dr. Dre']
['O.U. (Gone Gone)', 'Pulp']
['One For The Razorbacks', 'Green Day']
['Only Shallow', 'My Bloody Valentine']
['Only You', 'KT Tunstall']
['Opiate', 'Tool']
['Out Of Space', 'The Prodigy']
['Overblown', 'Mudhoney']
["Papa Won't Leave You, Henry", 'Nick Cave & the Bad Seeds']
['Paper Scratcher', 'Blind Melon']
['Peace & Love, Inc.', 'Information Society']
['People Everyday', 'Arrested Development']
['Plush', 'Stone Temple Pilots']
['Poing', 'Rotterdam Termination Source']
['Prairie Town', 'Randy Bachman']
['Precious', 'Annie Lennox']
['Precious Things', 'Tori Amos']
["Pretend We're Dead", 'L7']
['Protect Ya Neck', 'Wu-Tang Clan']
['Pull Me Under', 'Dream Theater']
['Punishment', 'Biohazard']
['Push the Feeling On', 'Nightcrawlers']
['Rain', 'Madonna']
["Raving I'm Raving", 'Shut Up And Dance']
['Ready To Go Home', '10cc']
['Real Love', 'Slaughter']
['Real Love', 'Mary J. Blige']
['Real World', 'Bruce Springsteen']
['Red-Headed Woman', 'Bruce Springsteen']
['Remedy', 'The Black Crowes']
['Rest in Peace', 'Extreme']
['Rhythm Is A Dancer', 'Snap!']
['Right Turn', 'Alice in Chains']
['Roll Of The Dice', 'Bruce Springsteen']
['Rooster', 'Alice in Chains']
['Rump Shaker', 'Wreckx-N-Effect']
['Run To You', 'Whitney Houston']
['Runaway Train', 'Elton John']
['Runaway Train', 'Soul Asylum']
['S--tlist', 'L7']
['Scarlet Begonias', 'Sublime']
['Scenario', 'A Tribe Called Quest']
["Searchin' My Soul", 'Vonda Shepard']
['Second Skin', 'The Gits']
['Secret World', 'Peter Gabriel']
['Seminole Wind', 'John Anderson']
['Send Me On My Way', 'Rusted Root']
["Sesame's Treet", "Smart E's"]
['Settle For Nothing', 'Rage Against the Machine']
['Sex Type Thing', 'Stone Temple Pilots']
['Sheela-Na-Gig', 'PJ Harvey']
['Sheffield: Sex City', 'Pulp']
['Simple Life', 'Elton John']
['Sin', 'Stone Temple Pilots']
["Skin O' My Teeth", 'Megadeth']
['Sleeping Satellite', 'Tasmin Archer']
['Sliver', 'Nirvana']
['Smells Like Nirvana', 'Weird Al Yankovic']
['Soak the Sin', 'Blind Melon']
["Someplace Far Away (Careful What You're Dreaming)", 'Hal Ketchum']
['Something Good', 'Utah Saints']
["Something's Got To Give", 'Beastie Boys']
["Sometimes Love Just Ain't Enough", 'Patty Smyth and Don Henley']
['Somewhere In My Broken Heart', 'Billy Dean']
['Souls Of The Departed', 'Bruce Springsteen']
['Space Suit', 'They Might Be Giants']
['Stain', 'Nirvana']
['State of Love and Trust', 'Pearl Jam']
['Stay', 'Shakespears Sister']
['Steam', 'Peter Gabriel']
['Stones In The Road', 'Joan Baez']
['Strange Desire', 'INXS']
['Summer Song', 'Joe Satriani']
['Supermodel (You Better Work)', 'RuPaul']
['Sweating Bullets', 'Megadeth']
['Sweet Children', 'Green Day']
['Sweet Old World', 'Lucinda Williams']
['Symphony of Destruction', 'Megadeth']
['Taco Grande', 'Weird Al Yankovic']
['Take The Power Back', 'Rage Against the Machine']
['Take The Time', 'Dream Theater']
['Taste It', 'INXS']
['Tear in Your Hand', 'Tori Amos']
['Tears In Heaven', 'Eric Clapton']
['Teen Angst (What the World Needs Now)', 'Cracker']
['Tennessee', 'Arrested Development']
['That Summer', 'Garth Brooks']
['The Ballad of Peter Pumpkinhead', 'XTC']
['The Best Things In Life Are Free', 'Janet Jackson']
['The Killing Hand', 'Dream Theater']
['The King of Broken Hearts', 'George Strait']
['The Last Song', 'Elton John']
['The Life Of Riley', 'The Lightning Seeds']
['The Lumberjack', 'Jackyl']
['The Message', 'Flotsam and Jetsam']
['The Right Kind Of Love', 'Jeremy Jordan']
['The Sidewinder Sleeps Tonite', 'R.E.M.']
['The Statue Got Me High', 'They Might Be Giants']
['The Time Has Come', 'Martina McBride']
['Them Bones', 'Alice in Chains']
["There Ain't Nothin' Wrong With The Radio", 'Aaron Tippin']
['They Reminisce Over You (T.R.O.Y.)', 'Pete Rock & C.L. Smooth']
['This Love', 'Pantera']
['This Used To Be My Playground', 'Madonna']
['Thong Song', 'Kyuss']
['Too Funky', 'George Michael']
['Township Rebellion', 'Rage Against the Machine']
['Trail Of Tears', 'Hal Ketchum']
['Trapped In A Box', 'No Doubt']
['Try Not To Breathe', 'R.E.M.']
['Uh Huh, Oh Yeh', 'Paul Weller']
['Under A Glass Moon', 'Dream Theater']
['Unholy', 'Kiss']
['Unknown Legend', 'Neil Young']
['Until I Fall Away', 'Gin Blossoms']
['Vibeology', 'Paula Abdul']
['Waiting For Somebody', 'Paul Westerberg']
['Waiting For The Miracle', 'Leonard Cohen']
['Waiting For The Sun', 'The Jayhawks']
['Wake Up', 'Rage Against the Machine']
['Walk', 'Pantera']
['Walking On Broken Glass', 'Annie Lennox']
['Wargasm', 'L7']
['Wasting Love', 'Iron Maiden']
['Watching TV', 'Roger Waters']
['We Are The Music Makers', 'Aphex Twin']
['We Shall Be Free', 'Garth Brooks']
['Weekender', 'Flowered Up']
['What Is Love', 'Haddaway']
['What Kind of Love', 'Rodney Crowell']
["What's Up", '4 Non Blondes']
['Wheat Kings', 'The Tragically Hip']
['When I Look Into Your Eyes', 'Firehouse']
['Where The River Goes', 'Stone Temple Pilots']
['Wheresoever Eagles Gather (The Ballad of Randy Weaver)', 'Carl Klang']
['White Lightning', 'Def Leppard']
['Who Wrote Holden Caulfield?', 'Green Day']
['Why', 'Annie Lennox']
['Wicked Garden', 'Stone Temple Pilots']
['Wingo Lamo', 'The Gits']
['Winter', 'Tori Amos']
['Would I Lie To You', 'Charles & Eddie']
['Would?', 'Alice in Chains']
['Wrong', 'Lindsey Buckingham']
['Yellow Ledbetter', 'Pearl Jam']
['You And Me', 'Neil Young']
["You Don't Love Me Anymore", 'Weird Al Yankovic']
["You Have To Be Joking (Autopsy Of The Devil's Brain)", 'The Flaming Lips']
["You Won't See Me Cry", 'Wilson Phillips']
