['(Not Just) Knee Deep', 'Funkadelic']
['Green Finch and Linnet Bird', 'Cast of Sweeney Todd']
['Grey Ghost', 'The Henry Paul Band']
['Groovy Times', 'The Clash']
['Half The Way', 'Crystal Gayle']
['Hateful', 'The Clash']
["He's The Greatest Dancer", 'Sister Sledge']
['Head Games', 'Foreigner']
['Heartache Tonight', 'Eagles']
['Heartbreaker', 'Pat Benatar']
['Heaven', 'Talking Heads']
['Here Comes My Girl', 'Tom Petty & the Heartbreakers']
['Here Comes The Moon', 'George Harrison']
['Hero Worship', 'The B-52s']
['Hey Hey, My My (Into The Black)', 'Neil Young']
['Hey You', 'Pink Floyd']
['Highway Song', 'Blackfoot']
['Highway to Hell', 'AC/DC']
['Him', 'Rupert Holmes']
['Hold On', 'Triumph']
['Hollywood Romance', 'Lynsey de Paul']
['Honesty', 'Billy Joel']
['Hot Dog', 'Led Zeppelin']
['Hot Stuff', 'Donna Summer']
['I Believe In You', 'Bob Dylan']
["I Can't Tell You Why", 'Eagles']
["I Don't Like Mondays", 'The Boomtown Rats']
['I Have A Dream', 'ABBA']
['I Just Fall in Love Again', 'Anne Murray']
['I Wanna Be A Star', 'Cockney Rejects']
['I Wanna Be Your Lover', 'Prince']
['I Want Your Love', 'Chic']
["I Was Made For Lovin' You", 'Kiss']
['I Zimbra', 'Talking Heads']
["I'd Rather Leave While I'm in Love", 'Rita Coolidge']
["I'll Never Love This Way Again", 'Dionne Warwick']
["I'm Bad, I'm Nationwide", 'ZZ Top']
["I'm Gonna Crawl", 'Led Zeppelin']
["I'm In The Mood For Dancing", 'The Nolans']
["I'm Not A Fool", 'Cockney Rejects']
["I'm Not Down", 'The Clash']
['If I Had You', 'The Korgis']
['If I Said You Had A Beautiful Body (Would You Hold It Against Me)', 'The Bellamy Brothers']
["If It Wasn't For The Nights", 'ABBA']
['In The City', 'Joe Walsh']
['In The City', 'Eagles']
['In The Evening', 'Led Zeppelin']
['In The Flesh', 'Pink Floyd']
['In The Flesh?', 'Pink Floyd']
['In the Heat of the Night', 'Pat Benatar']
['In The Navy', 'The Village People']
['In The Stone', 'Earth, Wind & Fire']
['Into The Valley', 'The Skids']
['Is She Really Going Out With Him?', 'Joe Jackson']
['Is There Anybody Out There?', 'Pink Floyd']
["It's Different for Girls", 'Joe Jackson']
["It's Nice 'Ere, Innit?", 'Lorraine Chase']
['Jane', 'Jefferson Starship']
['Jewish Princess', 'Frank Zappa']
["Joe's Garage", 'Frank Zappa']
["Johanna (Judge's Song)", 'Cast of Sweeney Todd']
['Jojo', 'Boz Scaggs']
['Judgement Day', 'Saxon']
['Just When I Needed You Most', 'Randy VanWarmer']
['King Of Hollywood', 'Eagles']
['King Rocker', 'Generation X']
['King Tim III (Personality Jock)', 'The Fatback Band']
['Ladies Night', 'Kool & the Gang']
['Lady Lynda', 'The Beach Boys']
['Lady Writer', 'Dire Straits']
['Lava', 'The B-52s']
['Law And Order', 'Tom Robinson Band']
['Lay It On The Line ', 'Triumph']
['Lead Me On', 'Maxine Nightingale']
['Let Me Take You Dancing', 'Bryan Adams']
["Let's Get Serious", 'Jermaine Jackson']
["Let's Go", 'The Cars']
['Life During Wartime', 'Talking Heads']
['Live at the Witch Trials', 'The Fall']
['Living On An Island', 'Status Quo']
['Local Girls', 'Graham Parker']
['Loch Lomond', 'Runrig']
['London Calling', 'The Clash']
['Lonely Dreamer', 'The Henry Paul Band']
['Lonesome Loser', 'Little River Band']
['Lost Forever, Left For Dreaming', 'Rockets']
['Lost In The Supermarket', 'The Clash']
['Louisiana Rain', 'Tom Petty & the Heartbreakers']
['Love Hungry Man', 'AC/DC']
['Love is the Answer', 'England Dan & John Ford Coley']
['Love Takes Time', 'Orleans']
['Love You Inside Out', 'Bee Gees']
["Lover's Rock", 'The Clash']
["Lovin', Touchin', Squeezin'", 'Journey']
['Lucille Has Messed My Mind Up', 'Frank Zappa']
['Luton Airport', 'Cats UK']
["Makin' It", 'David Naughton']
['Making Plans For Nigel', 'XTC']
["Mama Can't Buy You Love", 'Elton John']
['Maman Ch�rie', 'Ren� Simard']
['Manic Mechanic', 'ZZ Top']
['Melody Ann', 'The Marshall Tucker Band']
['Mercury Poisoning', 'Graham Parker']
['Message in a Bottle', 'The Police']
['Metal', 'Gary Numan']
['Militia Guard', 'Saxon']
['Moonraker', 'Shirley Bassey']
['Mother', 'Pink Floyd']
['Music Box Dancer', 'Frank Mills']
['My Friends', 'Cast of Sweeney Todd']
['My Girl', 'Madness']
['My My, Hey Hey (Out Of The Blue)', 'Neil Young']
['My Sharona', 'The Knack']
['Never Trust a Man (With Egg on His Face)', 'Adam & The Ants']
['News', 'Dire Straits']
['Nice Legs Shame About Her Face', 'The Monks']
['Night Boat To Cairo', 'Madness']
['Night Prowler', 'AC/DC']
['No More Tears (Enough Is Enough)', 'Barbra Streisand & Donna Summer']
['No Place Like London', 'Cast of Sweeney Todd']
['No Surprize', 'Aerosmith']
['No Time To Lose', 'Rainbow']
['Nobody Home', 'Pink Floyd']
['Not Guilty', 'George Harrison']
['Nuclear Device (The Wizard of Aus)', 'The Stranglers']
["Occam's Razor", 'Frank Zappa']
['Off The Wall', 'Michael Jackson']
['Old Photographs', 'Carlene Carter']
["Oliver's Army", 'Elvis Costello']
['On Any Other Day', 'The Police']
['On My Radio', 'The Selecter']
['On the Radio', 'Donna Summer']
['One Day At A Time', 'Lena Martell']
['One Of My Turns', 'Pink Floyd']
['One Step Beyond', 'Madness']
['One Voice', 'Barry Manilow']
['Only Star', 'Aretha Franklin']
['Out Of Control', 'U2']
['Outside The Wall', 'Pink Floyd']
['Overkill', 'Mot�rhead']
['Paralyzed', 'Ted Nugent']
['Philby', 'Rory Gallagher']
['Pilot Of The Airwaves', 'Charlie Dore']
['Planet Claire', 'The B-52s']
["Please Don't Go", 'KC & The Sunshine Band']
['Pocahontas', 'Neil Young']
['Poison', 'Mot�rhead']
['Police Car', 'Cockney Rejects']
["Poor Man's Moody Blues", 'Barclay James Harvest']
['Poor Thing', 'Cast of Sweeney Todd']
['Pop Muzik', 'M']
['Poptones', 'Public Image Ltd.']
['Portobello Belle', 'Dire Straits']
['Porton Down', 'Peter Hammill']
['Power', 'John Hall']
['Premature Burial', 'Siouxsie and the Banshees']
['Pretty Women', 'Cast of Sweeney Todd']
['Prime Time', 'The Tubes']
['Private Hell', 'The Jam']
['Private Party', 'Britt Ekland']
['Queen of Hearts', 'Dave Edmunds']
['Rainbow Connection', 'The Muppets']
['Rainbow Theme', 'Saxon']
['Ranking Full Stop', 'The English Beat']
["Rapper's Delight", 'The Sugarhill Gang']
['Reasons To Be Cheerful Part 3', 'Ian Dury & the Blockheads']
['Reflections', 'The Charlie Daniels Band']
['Refugee', 'Tom Petty & the Heartbreakers']
['Reggatta de Blanc', 'The Police']
['Repetition', 'David Bowie']
['Revolution Rock', 'The Clash']
['Ring My Bell', 'Anita Ward']
['Rise', 'Herb Alpert']
["Rock 'n' Roll Fantasy", 'Bad Company']
['Rock Lobster', 'The B-52s']
['Rock With You', 'Michael Jackson']
["Romeo's Tune", 'Steve Forbert']
['Rosie', 'Joan Armatrading']
["Rudie Can't Fail", 'The Clash']
['Run For Your Life', 'Runner']
['Run Like Hell', 'Pink Floyd']
['S&M', 'Thin Lizzy']
['Sad Eyes', 'Robert John']
['Sail On', 'Commodores']
['Sailing To America', 'Saxon']
['Same Old Story', 'B.B. King']
['Sara', 'Fleetwood Mac']
['Sarah', 'Thin Lizzy']
['September Morn', 'Neil Diamond']
['Set Me Free', 'Utopia']
['Shaddup You Face', 'Joe Dolce']
["She's Lost Control", 'Joy Division']
['Ships', 'Ian Hunter']
['Shot Down In Flames', 'AC/DC']
['Shotgun Blues', 'Dr. Feelgood']
['Since You Been Gone', 'Rainbow']
['Single-Handed Sailor', 'Dire Straits']
['Smash It Up', 'The Damned']
['So Good, So Right', 'Brenda Russell']
['So Long', 'The Henry Paul Band']
['So What', 'The Cure']
['Some Girls', 'Racey']
["Something's Cooking In The Kitchen", 'Dana']
['Sound-A-Sleep', 'Blondie']
['South Bound Saurez', 'Led Zeppelin']
['Spacer', 'Sheila B. Devotion']
['Spanish Bombs', 'The Clash']
['Stallions Of The Highway', 'Saxon']
['Stay With Me Till Dawn', 'Judie Tzuke']
['Still', 'Commodores']
['Stone Dead Forever', 'Mot�rhead']
['Stop Your Sobbing', 'Pretenders']
['Stories For Boys', 'U2']
['Street Life', 'The Crusaders']
['Suicide?', 'Barclay James Harvest']
['Suitcase Blues', 'Triumph']
['Sukarita', 'Judie Tzuke']
['Sunday Papers', 'Joe Jackson']
['Sunset People', 'Donna Summer']
['Sure Know Something', 'Kiss']
['Sweet and Simple', 'Journey']
['Take The Long Way Home', 'Supertramp']
['Tears of a Clown', 'The English Beat']
['Tell Me on a Sunday', 'Marti Webb']
['The Ballad Of Lucy Jordan', 'Marianne Faithfull']
['The Ballad Of Sweeney Todd', 'Cast of Sweeney Todd']
['The Barber And His Wife', 'Cast of Sweeney Todd']
['The Card Cheat', 'The Clash']
['The Cat Came Back', 'Fred Penner']
['The Central Scrutinizer', 'Frank Zappa']
['The Devil Went Down To Georgia', 'The Charlie Daniels Band']
['The Diary Of Horace Wimp', 'Electric Light Orchestra']
['The Eton Rifles', 'The Jam']
['The Gasman Cometh', 'Crass']
['The Girl On The Phone', 'The Jam']
['The Guns Of Brixton', 'The Clash']
['The Happiest Days Of Our Lives', 'Pink Floyd']
['The Last Chance Texaco', 'Rickie Lee Jones']
['The Last To Know', 'Dan Fogelberg']
['The Logical Song', 'Supertramp']
['The Long Run', 'Eagles']
['The Main Event', 'Barbra Streisand']
['The Man Who Built America', 'Horslips']
['The Number One Song In Heaven', 'Sparks']
['The Prince', 'Madness']
['The Right Profile', 'The Clash']
['The Rose', 'Bette Midler']
['The Sad Cafe', 'Eagles']
['The Show Must Go On', 'Pink Floyd']
['The Smokey Life', 'Leonard Cohen']
['The Streets Of Philadelphia', 'Stanley Clarke']
['The Trial', 'Pink Floyd']
['The Worst Pies In London', 'Cast of Sweeney Todd']
["Theme from The Dukes of Hazzard (Good Ol' Boys)", 'Waylon Jennings']
['Thinking Of You', 'Sister Sledge']
['This Is It', 'Kenny Loggins']
["This Night Won't Last Forever", 'Michael Johnson']
['Those Shoes', 'Eagles']
['Thrasher', 'Neil Young']
['Tigers and Fireflies', 'Lynsey de Paul']
['Time For Action', 'Secret Affair']
['Toad-O-Line', 'Frank Zappa']
['Too Hot', 'Kool & the Gang']
['Too Late', 'Journey']
['Touch Too Much', 'AC/DC']
['Tragedy', 'Bee Gees']
['Train in Vain (Stand By Me)', 'The Clash']
['Train, Train', 'Blackfoot']
['Trans Am (Highway Wonderland)', 'Sammy Hagar']
['Tusk', 'Fleetwood Mac']
['Twilight Zone', 'The Manhattan Transfer']
['Under the Blade', 'Twisted Sister']
['Up the Junction', 'Squeeze']
['Vera', 'Pink Floyd']
['Video Killed The Radio Star', 'Buggles']
['Village Of The Sun', 'Frank Zappa']
['Voices', 'Cheap Trick']
['Volcano', 'Jimmy Buffett']
['Voulez-Vous', 'ABBA']
['Waiting For An Alibi', 'Thin Lizzy']
['Waiting For the Worms', 'Pink Floyd']
['Walking On The Moon', 'The Police']
['Watermelon In Easter Hay', 'Frank Zappa']
['We Are Family', 'Sister Sledge']
["We Don't Talk Anymore", 'Cliff Richard']
['We Live For Love', 'Pat Benatar']
['Weasel And The White Boys Cool', 'Rickie Lee Jones']
['Weiss Heim', 'Rainbow']
['Wet T-Shirt Nite', 'Frank Zappa']
["What Makes You Think You're the One", 'Fleetwood Mac']
['Whatever You Want', 'Status Quo']
['Where Did His Eye Go?', 'The Dickies']
['Where Were You When I Was Falling In Love', 'Lobo']
['Whip In My Valise', 'Adam & The Ants']
['Why Does It Hurt When I Pee?', 'Frank Zappa']
['Wonderful Christmastime', 'Paul McCartney']
["You Ain't Just Whistlin' Dixie", 'The Bellamy Brothers']
["You Can't Be Too Strong", 'Graham Parker']
["You Can't Change That", 'Raydio']
['You Take My Breath Away', 'Rex Smith']
["You're Only Lonely", 'J.D. Souther']
['Young Blood', 'Rickie Lee Jones']
['Young Lust', 'Pink Floyd']
['Zerox', 'Adam & The Ants']
